Date,Price,Open,High,Low,Vol.,CB_n330_Low,CB_n330_High,CB_n330_Avg,BCO_Close
1/2/2014,4.609,4.85,6.493,4.441,3180000,"1,393","1,545","1,469",109.07
1/3/2014,4.371,4.69,4.736,4.262,1940000,"1,361","1,511","1,436",107.76
1/4/2014,4.815,4.367,4.852,4.221,2040000,"1,395","1,544","1,470",108.07
1/5/2014,4.542,4.797,4.827,4.289,1890000,"1,374","1,518","1,446",108.68
1/6/2014,4.461,4.551,4.886,4.35,2089999,"1,390","1,535","1,463",112.07
1/7/2014,3.841,4.447,4.488,3.723,1830000,"1,400","1,545","1,473",106.53
1/8/2014,4.065,3.829,4.101,3.727,1970000,"1,415","1,560","1,488",103.77
1/9/2014,4.121,4.048,4.178,3.761,2200000,"1,360","1,505","1,433",95.32
1/10/2014,3.873,4.13,4.184,3.541,2380000,"1,343","1,488","1,416",86.34
1/11/2014,4.088,4.007,4.544,3.931,3010000,"1,326","1,469","1,398",70.58
1/12/2014,2.889,3.975,4.041,2.882,2620000,"1,198","1,324","1,261",58.21
1/1/2015,2.691,2.845,3.352,2.637,2640000,"1,180","1,310","1,245",53.95
1/2/2015,2.734,2.664,3.039,2.567,2490000,"1,017","1,125","1,071",63.15
1/3/2015,2.64,2.691,2.935,2.578,2360000,902,995,949,56.21
1/4/2015,2.751,2.637,2.77,2.443,2440000,"1,000","1,103","1,052",67.45
1/5/2015,2.642,2.737,3.105,2.633,2430000,970,"1,075","1,023",66.14
1/6/2015,2.832,2.615,2.955,2.556,3000000,997,"1,100","1,049",64.14
1/7/2015,2.716,2.816,2.951,2.644,2610000,"1,042","1,146","1,094",52.85
1/8/2015,2.689,2.725,2.934,2.624,2540000,"1,035","1,139","1,087",54.99
1/9/2015,2.524,2.686,2.794,2.511,2260000,959,"1,058","1,009",49.05
1/10/2015,2.321,2.522,2.578,1.948,2940000,865,955,910,50.31
1/11/2015,2.235,2.268,2.46,2.051,2500000,855,945,900,45.24
1/12/2015,2.337,2.23,2.387,1.684,3010000,852,942,897,37.67
1/1/2016,2.298,2.366,2.495,2.044,2480000,828,915,872,35.99
1/2/2016,1.711,2.213,2.228,1.682,2580000,736,814,775,36.57
1/3/2016,1.959,1.707,2.028,1.611,2810000,700,772,736,40.33
1/4/2016,2.178,1.963,2.195,1.872,3040000,736,814,775,47.37
1/5/2016,2.288,2.132,2.303,1.909,2640000,768,848,808,49.89
1/6/2016,2.924,2.287,2.974,2.277,3120000,794,878,836,49.71
1/7/2016,2.876,2.931,2.998,2.625,2360000,855,945,900,43.53
1/8/2016,2.887,2.84,2.943,2.523,2960000,898,992,945,46.89
1/9/2016,2.906,2.879,3.098,2.665,2690000,888,982,935,50.19
1/10/2016,3.026,2.905,3.366,2.627,3330000,893,987,940,48.61
1/11/2016,3.352,2.979,3.367,2.546,2990000,917,"1,013",965,51.84
1/12/2016,3.724,3.348,3.994,3.242,3290000,957,"1,057","1,007",57.49
1/1/2017,3.117,3.568,3.568,3.098,2840000,929,"1,029",979,55.58
1/2/2017,2.774,3.134,3.228,2.522,2630000,"1,020","1,120","1,070",56.51
1/3/2017,3.19,2.77,3.242,2.73,3120000,"1,028","1,128","1,078",53.53
1/4/2017,3.276,3.217,3.347,3.022,2650000,"1,024","1,124","1,074",52.05
1/5/2017,3.071,3.249,3.431,3.061,3170000,987,"1,086","1,037",50.76
1/6/2017,3.035,3.08,3.128,2.855,3160000,"1,000","1,108","1,054",48.77
1/7/2017,2.794,2.949,3.114,2.781,2740000,993,"1,101","1,047",52.72
