Date,Price,Open,High,Low,Vol.,CB_n330_Low,CB_n330_High,CB_n330_Avg,BCO_Close,EMA_3
1/1/2014,4.943,4.232,5.725,3.953,3360000,1356,1506,1431,106.4,1434.8315618038177
1/2/2014,4.609,4.85,6.493,4.441,3180000,1393,1545,1469,109.07,1451.9157809019089
1/3/2014,4.371,4.69,4.736,4.262,1940000,1361,1511,1436,107.76,1443.9578904509544
1/4/2014,4.815,4.367,4.852,4.221,2040000,1395,1544,1470,108.07,1456.9789452254772
1/5/2014,4.542,4.797,4.827,4.289,1890000,1374,1518,1446,108.68,1451.4894726127386
1/6/2014,4.461,4.551,4.886,4.35,2089999,1390,1535,1463,112.07,1457.2447363063693
1/7/2014,3.841,4.447,4.488,3.723,1830000,1400,1545,1473,106.53,1465.1223681531847
1/8/2014,4.065,3.829,4.101,3.727,1970000,1415,1560,1488,103.77,1476.5611840765923
1/9/2014,4.121,4.048,4.178,3.761,2200000,1360,1505,1433,95.32,1454.7805920382962
1/10/2014,3.873,4.13,4.184,3.541,2380000,1343,1488,1416,86.34,1435.390296019148
1/11/2014,4.088,4.007,4.544,3.931,3010000,1326,1469,1398,70.58,1416.695148009574
1/12/2014,2.889,3.975,4.041,2.882,2620000,1198,1324,1261,58.21,1338.847574004787
1/1/2015,2.691,2.845,3.352,2.637,2640000,1180,1310,1245,53.95,1291.9237870023935
1/2/2015,2.734,2.664,3.039,2.567,2490000,1017,1125,1071,63.15,1181.4618935011968
1/3/2015,2.64,2.691,2.935,2.578,2360000,902,995,949,56.21,1065.2309467505984
1/4/2015,2.751,2.637,2.77,2.443,2440000,1000,1103,1052,67.45,1058.6154733752992
1/5/2015,2.642,2.737,3.105,2.633,2430000,970,1075,1023,66.14,1040.8077366876496
1/6/2015,2.832,2.615,2.955,2.556,3000000,997,1100,1049,64.14,1044.9038683438248
1/7/2015,2.716,2.816,2.951,2.644,2610000,1042,1146,1094,52.85,1069.4519341719124
1/8/2015,2.689,2.725,2.934,2.624,2540000,1035,1139,1087,54.99,1078.2259670859562
1/9/2015,2.524,2.686,2.794,2.511,2260000,959,1058,1009,49.05,1043.612983542978
1/10/2015,2.321,2.522,2.578,1.948,2940000,865,955,910,50.31,976.806491771489
1/11/2015,2.235,2.268,2.46,2.051,2500000,855,945,900,45.24,938.4032458857446
1/12/2015,2.337,2.23,2.387,1.684,3010000,852,942,897,37.67,917.7016229428723
1/1/2016,2.298,2.366,2.495,2.044,2480000,828,915,872,35.99,894.8508114714361
1/2/2016,1.711,2.213,2.228,1.682,2580000,736,814,775,36.57,834.9254057357181
1/3/2016,1.959,1.707,2.028,1.611,2810000,700,772,736,40.33,785.462702867859
1/4/2016,2.178,1.963,2.195,1.872,3040000,736,814,775,47.37,780.2313514339295
1/5/2016,2.288,2.132,2.303,1.909,2640000,768,848,808,49.89,794.1156757169647
1/6/2016,2.924,2.287,2.974,2.277,3120000,794,878,836,49.71,815.0578378584823
1/7/2016,2.876,2.931,2.998,2.625,2360000,855,945,900,43.53,857.5289189292412
1/8/2016,2.887,2.84,2.943,2.523,2960000,898,992,945,46.89,901.2644594646206
1/9/2016,2.906,2.879,3.098,2.665,2690000,888,982,935,50.19,918.1322297323103
1/10/2016,3.026,2.905,3.366,2.627,3330000,893,987,940,48.61,929.0661148661552
1/11/2016,3.352,2.979,3.367,2.546,2990000,917,1013,965,51.84,947.0330574330776
1/12/2016,3.724,3.348,3.994,3.242,3290000,957,1057,1007,57.49,977.0165287165388
1/1/2017,3.117,3.568,3.568,3.098,2840000,929,1029,979,55.58,978.0082643582693
1/2/2017,2.774,3.134,3.228,2.522,2630000,1020,1120,1070,56.51,1024.0041321791346
1/3/2017,3.19,2.77,3.242,2.73,3120000,1028,1128,1078,53.53,1051.0020660895673
1/4/2017,3.276,3.217,3.347,3.022,2650000,1024,1124,1074,52.05,1062.5010330447835
1/5/2017,3.071,3.249,3.431,3.061,3170000,987,1086,1037,50.76,1049.7505165223918
1/6/2017,3.035,3.08,3.128,2.855,3160000,1000,1108,1054,48.77,1051.875258261196
1/7/2017,2.794,2.949,3.114,2.781,2740000,993,1101,1047,52.72,1049.437629130598
1/8/2017,3.04,2.81,3.045,2.753,2940000,963,1072,1018,52.86,1033.718814565299
1/9/2017,3.007,3.027,3.166,2.885,3170000,996,1104,1050,56.79,1041.8594072826495
1/10/2017,2.896,3.018,3.036,2.723,3890000,1007,1115,1061,60.94,1051.4297036413247
1/11/2017,3.025,2.906,3.231,2.797,3820000,1041,1148,1095,62.63,1073.2148518206623
1/12/2017,2.953,3.032,3.127,2.568,4230000,1045,1152,1099,66.44,1086.1074259103311
1/1/2018,2.995,3.03,3.661,2.746,5350000,1224,1352,1288,68.89,1187.0537129551656
1/2/2018,2.667,2.956,2.978,2.53,3100000,1207,1335,1271,64.73,1229.026856477583
1/3/2018,2.733,2.668,2.811,2.565,2550000,1241,1371,1306,69.34,1267.5134282387914
1/4/2018,2.763,2.73,2.839,2.621,2910000,1204,1332,1268,74.69,1267.7567141193958
1/5/2018,2.952,2.764,2.988,2.695,2870000,1207,1335,1271,77.56,1269.378357059698
1/6/2018,2.924,2.951,3.053,2.873,2680000,1240,1370,1305,79.23,1287.189178529849
1/7/2018,2.782,2.92,2.927,2.704,2260000,1317,1455,1386,74.21,1336.5945892649245
1/8/2018,2.916,2.78,2.993,2.74,2690000,1316,1454,1385,77.64,1360.7972946324621
1/9/2018,3.008,2.9,3.111,2.752,2800000,1338,1479,1409,82.73,1384.898647316231
1/10/2018,3.261,3.007,3.368,3.001,3990000,1307,1445,1376,75.04,1380.4493236581156
1/11/2018,4.612,3.284,4.929,3.166,4450000,1335,1468,1402,59.46,1391.2246618290578
1/12/2018,2.94,4.527,4.666,2.93,2760000,1380,1525,1453,54.02,1422.112330914529
1/1/2019,2.814,2.921,3.722,2.789,2700000,1279,1413,1346,60.84,1384.0561654572643
1/2/2019,2.812,2.832,2.908,2.543,2240000,1194,1320,1257,66.31,1320.5280827286322
1/3/2019,2.662,2.805,2.897,2.656,1950000,1207,1333,1270,67.58,1295.2640413643162
1/4/2019,2.575,2.663,2.733,2.439,2300000,1272,1406,1339,72.06,1317.132020682158
1/5/2019,2.454,2.572,2.7,2.444,2500000,1279,1413,1346,61.99,1331.5660103410792
1/6/2019,2.308,2.444,2.475,2.159,2650000,1295,1429,1362,64.74,1346.7830051705396
1/7/2019,2.233,2.33,2.489,2.107,3080000,1252,1384,1318,65.05,1332.3915025852698
1/8/2019,2.285,2.238,2.333,2.029,3250000,1191,1317,1254,59.25,1293.195751292635
1/9/2019,2.33,2.288,2.71,2.269,3440000,1221,1349,1285,59.25,1289.0978756463173
1/10/2019,2.633,2.325,2.738,2.187,4110000,1090,1204,1147,59.62,1218.0489378231587
1/11/2019,2.281,2.637,2.905,2.27,3660000,1145,1265,1205,60.49,1211.5244689115793
1/12/2019,2.189,2.315,2.51,2.138,3770000,1071,1183,1127,65.29,1169.2622344557897
1/1/2020,1.841,2.184,2.255,1.812,3850000,1013,1119,1066,56.62,1117.6311172278947
1/2/2020,1.684,1.852,2.025,1.642,4040000,1045,1155,1100,49.67,1108.8155586139474
1/3/2020,1.64,1.695,1.998,1.519,3840000,1059,1169,1114,26.35,1111.4077793069737
1/4/2020,1.949,1.643,1.974,1.521,3570000,1068,1178,1123,26.48,1117.2038896534868
1/5/2020,1.849,1.936,2.162,1.595,3650000,878,970,924,37.84,1020.6019448267434
1/6/2020,1.751,1.83,1.864,1.432,3390000,806,890,848,41.27,934.3009724133717
1/7/2020,1.799,1.754,1.928,1.605,2900000,870,962,916,43.52,925.1504862066859
1/8/2020,2.63,1.859,2.743,1.852,3340000,953,1053,1003,45.66,964.0752431033429
1/9/2020,2.527,2.628,2.789,1.795,3160000,997,1101,1049,42.3,1006.5376215516715
1/10/2020,3.354,2.55,3.396,2.373,3130000,1036,1144,1090,37.94,1048.2688107758358
1/11/2020,2.882,3.374,3.393,2.525,2510000,995,1099,1047,47.88,1047.634405387918
1/12/2020,2.539,2.934,2.972,2.238,2970000,1022,1126,1074,51.82,1060.817202693959
1/1/2021,2.564,2.626,2.899,2.414,2450000,1040,1150,1095,55.04,1077.9086013469796
1/2/2021,2.771,2.73,3.316,2.697,3300000,1075,1189,1132,64.42,1104.9543006734898
1/3/2021,2.608,2.8,2.887,2.422,2140000,1119,1237,1178,62.74,1141.477150336745
1/4/2021,2.931,2.605,2.971,2.453,2140000,1171,1295,1233,66.76,1187.2385751683723
1/5/2021,2.986,2.938,3.15,2.832,1810000,1189,1311,1250,68.95,1218.6192875841862
1/6/2021,3.65,3.036,3.814,3.01,2730000,1196,1318,1257,74.62,1237.809643792093
1/7/2021,3.914,3.746,4.187,3.52,2290000,1213,1341,1277,75.41,1257.4048218960465
1/8/2021,4.377,3.973,4.526,3.734,2600000,1256,1388,1322,71.63,1289.7024109480233
1/9/2021,5.867,4.403,6.28,4.378,3510000,1267,1399,1333,78.31,1311.3512054740117
1/10/2021,5.426,5.975,6.466,4.825,3310000,1262,1392,1327,83.72,1319.1756027370059
1/11/2021,4.567,5.31,5.876,4.482,2700000,1324,1464,1394,69.23,1356.5878013685028
1/12/2021,3.73,4.606,4.664,3.536,2540000,1407,1555,1481,77.35,1418.7939006842514
1/1/2022,4.874,3.702,7.4,3.638,2370000,1391,1537,1464,89.26,1441.3969503421258
1/2/2022,4.402,4.921,5.572,3.876,2550000,1336,1476,1406,97.97,1423.698475171063
1/3/2022,5.642,4.408,5.832,4.34,2170000,1454,1608,1531,104.71,1477.3492375855315
1/4/2022,7.244,5.627,8.065,5.505,3000000,1512,1672,1592,107.14,1534.6746187927656
1/5/2022,8.145,7.412,9.401,6.43,2220000,1661,1835,1748,115.6,1641.3373093963828
1/6/2022,5.424,8.271,9.664,5.357,2630000,1656,1830,1743,109.03,1692.1686546981914
1/7/2022,8.229,5.701,9.752,5.325,1810000,1724,1906,1815,103.97,1753.5843273490957
1/8/2022,9.127,7.91,10.028,7.532,2029999,1717,1899,1808,95.64,1780.7921636745477
1/9/2022,6.766,9.133,9.394,6.456,1970000,1600,1768,1684,85.14,1732.3960818372739
1/10/2022,6.355,6.8,7.188,4.75,2009999,1601,1770,1686,92.81,1709.198040918637
1/11/2022,6.93,6.27,7.604,5.614,2120000,1411,1559,1485,86.97,1597.0990204593186
1/12/2022,4.475,6.966,7.213,4.378,2360000,1312,1450,1381,85.65,1489.0495102296593
1/1/2023,2.684,4.393,4.394,2.612,2120000,1750,1934,1842,85.46,1665.5247551148295
1/2/2023,2.747,2.73,2.788,1.967,3020000,1662,1836,1749,83.45,1707.2623775574148
1/3/2023,2.216,2.769,3.027,1.944,2810000,1590,1758,1674,79.89,1690.6311887787074
1/4/2023,2.41,2.085,2.529,1.946,2900000,1598,1766,1682,80.33,1686.3155943893537
1/5/2023,2.266,2.398,2.685,2.031,2620000,1633,1805,1719,72.6,1702.6577971946767
1/6/2023,2.798,2.255,2.839,2.136,2920000,1717,1897,1807,75.41,1754.8288985973384
1/7/2023,2.634,2.729,2.793,2.463,2080000,1657,1831,1744,85.43,1749.4144492986693
1/8/2023,2.768,2.644,3.018,2.425,3090000,1712,1892,1802,86.83,1775.7072246493346
